county,fips,date,cases,deaths,prob_deaths,new_cases,new_deaths,new_prob_deaths,population,cases_per_100k,deaths_per_100k,prob_deaths_per_100k
frederick,24021,2020-04-15,442,20,7,1,6,7,248472,177.8872468527641,8.049196690170321,2.817218841559612
garrett,24023,2020-04-15,4,0,0,0,0,0,29376,13.616557734204795,0,0
harford,24025,2020-04-15,152,0,3,5,0,3,251025,60.55173787471367,0,1.1951000896325068
howard,24027,2020-04-15,424,9,1,21,0,1,315327,134.4635885921599,2.8541799465316955,0.3171311051701884
kent,24029,2020-04-15,11,1,0,0,1,0,19593,56.142499872403405,5.103863624763946,0
montgomery,24031,2020-04-15,1933,44,14,50,0,14,1040133,185.84161833150185,4.230228249656534,1.3459817157998062
prince_georges,24033,2020-04-15,2516,65,11,160,0,11,906202,277.64229167448315,7.1727937038320375,1.213857396033114
queen_annes,24035,2020-04-15,19,1,0,0,1,0,49355,38.49660622024111,2.026137169486374,0
somerset,24039,2020-04-15,5,0,0,0,0,0,25737,19.427283677196254,0,0
st_marys,24037,2020-04-15,99,1,0,1,0,0,111531,88.7645587325497,0.8966117043691888,0
talbot,24041,2020-04-15,14,1,0,0,0,0,37211,37.62328343769315,2.6873773884066536,0
washington,24043,2020-04-15,106,0,0,10,0,0,149811,70.75581899860491,0,0
wicomico,24045,2020-04-15,76,1,0,13,0,0,102172,74.38437145206123,0.9787417296323847,0
worcester,24047,2020-04-15,22,0,0,1,0,0,51564,42.665425490652396,0,0
allegany,24001,2020-04-16,20,1,0,3,0,0,71977,27.786654070050155,1.3893327035025076,0
anne_arundel,24003,2020-04-16,896,29,6,51,4,1,567696,157.8309517770074,5.108367858854034,1.0569036949353177
baltimore,24005,2020-04-16,1516,31,6,31,4,1,827625,183.1747470170669,3.745657755626038,0.7249660172179428
baltimore_city,24510,2020-04-16,1160,31,4,100,6,2,614700,188.70993980803644,5.04311046038718,0.6507239303725395
calvert,24009,2020-04-16,103,1,0,1,0,0,91082,113.0849124964318,1.0979117718100173,0
caroline,24011,2020-04-16,23,0,0,1,0,0,32875,69.96197718631178,0,0
carroll,24013,2020-04-16,283,21,2,21,1,0,167522,168.9330356609878,12.535666957175774,1.19387304354055
cecil,24015,2020-04-16,101,2,0,11,0,0,102517,98.52024542271037,1.950895948964562,0
charles,24017,2020-04-16,327,13,0,17,2,0,157671,207.39387712388452,8.245016521744645,0
dorchester,24019,2020-04-16,18,1,0,2,0,0,32261,55.79492266203776,3.099717925668764,0
frederick,24021,2020-04-16,497,22,7,55,2,0,248472,200.02253775073248,8.854116359187353,2.817218841559612
garrett,24023,2020-04-16,4,0,0,0,0,0,29376,13.616557734204795,0,0
harford,24025,2020-04-16,161,0,4,9,0,1,251025,64.13703814361119,0,1.5934667861766756
howard,24027,2020-04-16,451,10,1,27,1,0,315327,143.02612843175498,3.1713110517018843,0.3171311051701884
kent,24029,2020-04-16,11,1,0,0,0,0,19593,56.142499872403405,5.103863624763946,0
montgomery,24031,2020-04-16,2133,56,14,200,12,0,1040133,205.06992855721336,5.383926863199225,1.3459817157998062
prince_georges,24033,2020-04-16,2722,70,10,206,5,0,906202,300.3745301820124,7.724547065665272,1.1035067236664673
queen_annes,24035,2020-04-16,19,1,0,0,0,0,49355,38.49660622024111,2.026137169486374,0
somerset,24039,2020-04-16,6,0,0,1,0,0,25737,23.312740412635502,0,0
st_marys,24037,2020-04-16,98,1,0,0,0,0,111531,87.86794702818051,0.8966117043691888,0
talbot,24041,2020-04-16,14,1,0,0,0,0,37211,37.62328343769315,2.6873773884066536,0
washington,24043,2020-04-16,109,1,0,3,1,0,149811,72.7583421778107,0.6675077264019331,0
wicomico,24045,2020-04-16,87,1,0,11,0,0,102172,85.15053047801746,0.9787417296323847,0
worcester,24047,2020-04-16,25,0,0,3,0,0,51564,48.48343805755954,0,0
allegany,24001,2020-04-17,26,1,0,6,0,0,71977,36.1226502910652,1.3893327035025076,0
anne_arundel,24003,2020-04-17,966,34,6,70,5,0,567696,170.16149488458612,5.989120937966799,1.0569036949353177
baltimore,24005,2020-04-17,1569,37,7,53,6,1,827625,189.57861350249206,4.4706237728439815,0.8457936867542667
baltimore_city,24510,2020-04-17,1273,38,4,113,7,0,614700,207.0928908410607,6.181877338539125,0.6507239303725395
calvert,24009,2020-04-17,109,2,0,6,1,0,91082,119.6723831272919,2.1958235436200346,0
caroline,24011,2020-04-17,28,0,0,5,0,0,32875,85.17110266159696,0,0
carroll,24013,2020-04-17,288,25,2,5,4,0,167522,171.91771826983918,14.923413044256874,1.19387304354055
cecil,24015,2020-04-17,127,2,0,26,0,0,102517,123.88189275924968,1.950895948964562,0
charles,24017,2020-04-17,337,15,0,10,2,0,157671,213.73619752522657,9.513480602013052,0
dorchester,24019,2020-04-17,20,1,0,2,0,0,32261,61.99435851337528,3.099717925668764,0
frederick,24021,2020-04-17,525,23,7,28,1,0,248472,211.29141311697092,9.256576193695869,2.817218841559612
garrett,24023,2020-04-17,4,0,0,0,0,0,29376,13.616557734204795,0,0
harford,24025,2020-04-17,176,0,6,15,0,2,251025,70.11253859177373,0,2.3902001792650136
howard,24027,2020-04-17,475,10,1,24,0,0,315327,150.6372749558395,3.1713110517018843,0.3171311051701884
kent,24029,2020-04-17,14,1,0,3,0,0,19593,71.45409074669524,5.103863624763946,0
montgomery,24031,2020-04-17,2280,63,15,147,7,1,1040133,219.20273657311134,6.056917721099128,1.442123266928364
prince_georges,24033,2020-04-17,2966,77,10,244,7,0,906202,327.3000942394742,8.497001772231798,1.1035067236664673
queen_annes,24035,2020-04-17,19,1,0,0,0,0,49355,38.49660622024111,2.026137169486374,0
somerset,24039,2020-04-17,9,0,0,3,0,0,25737,34.96911061895326,0,0
st_marys,24037,2020-04-17,100,1,0,2,0,0,111531,89.66117043691888,0.8966117043691888,0
talbot,24041,2020-04-17,14,1,0,0,0,0,37211,37.62328343769315,2.6873773884066536,0
washington,24043,2020-04-17,116,1,0,7,0,0,149811,77.43089626262424,0.6675077264019331,0
wicomico,24045,2020-04-17,103,1,0,16,0,0,102172,100.81039815213562,0.9787417296323847,0
worcester,24047,2020-04-17,28,0,0,3,0,0,51564,54.30145062446668,0,0
allegany,24001,2020-04-18,33,1,0,7,0,0,71977,45.847979215582754,1.3893327035025076,0
anne_arundel,24003,2020-04-18,1005,34,7,39,0,1,567696,177.03136890166567,5.989120937966799,1.2330543107578704
baltimore,24005,2020-04-18,1664,38,7,95,1,0,827625,201.0572421084428,4.591451442380305,0.8457936867542667
baltimore_city,24510,2020-04-18,1378,40,3,105,2,0,614700,224.17439401333982,6.507239303725395,0.4880429477794046
calvert,24009,2020-04-18,109,2,0,0,0,0,91082,119.6723831272919,2.1958235436200346,0
caroline,24011,2020-04-18,33,0,0,5,0,0,32875,100.38022813688212,0,0
carroll,24013,2020-04-18,308,26,2,20,1,0,167522,183.85644870524467,15.520349566027148,1.19387304354055
cecil,24015,2020-04-18,131,3,0,4,1,0,102517,127.7836846571788,2.9263439234468427,0
charles,24017,2020-04-18,347,16,0,10,1,0,157671,220.07851792656862,10.147712642147257,0
dorchester,24019,2020-04-18,20,1,0,0,0,0,32261,61.99435851337528,3.099717925668764,0
frederick,24021,2020-04-18,557,23,8,32,0,1,248472,224.17012782124345,9.256576193695869,3.219678676068128
garrett,24023,2020-04-18,4,0,0,0,0,0,29376,13.616557734204795,0,0
harford,24025,2020-04-18,195,0,5,19,0,0,251025,77.68150582611294,0,1.9918334827208444
howard,24027,2020-04-18,508,10,2,33,0,1,315327,161.10260142645572,3.1713110517018843,0.6342622103403768
kent,24029,2020-04-18,16,1,0,2,0,0,19593,81.66181799622314,5.103863624763946,0
montgomery,24031,2020-04-18,2404,70,16,124,7,1,1040133,231.12428891305245,6.729908578999031,1.5382648180569216
prince_georges,24033,2020-04-18,3160,85,10,194,8,0,906202,348.70812467860367,9.379807151164972,1.1035067236664673
queen_annes,24035,2020-04-18,24,2,0,5,1,0,49355,48.62729206767298,4.052274338972748,0
somerset,24039,2020-04-18,10,0,0,1,0,0,25737,38.85456735439251,0,0
st_marys,24037,2020-04-18,101,1,0,1,0,0,111531,90.55778214128807,0.8966117043691888,0
talbot,24041,2020-04-18,16,1,0,2,0,0,37211,42.99803821450646,2.6873773884066536,0
washington,24043,2020-04-18,116,3,0,0,2,0,149811,77.43089626262424,2.002523179205799,0
wicomico,24045,2020-04-18,138,1,0,35,0,0,102172,135.06635868926907,0.9787417296323847,0
worcester,24047,2020-04-18,31,0,0,3,0,0,51564,60.119463191373825,0,0
allegany,24001,2020-04-19,33,1,0,0,0,0,71977,45.847979215582754,1.3893327035025076,0
anne_arundel,24003,2020-04-19,1047,40,6,42,6,0,567696,184.4296947662129,7.0460246329021174,1.0569036949353177
baltimore,24005,2020-04-19,1733,44,6,69,6,0,827625,209.3943513064492,5.316417459598248,0.7249660172179428
baltimore_city,24510,2020-04-19,1392,46,5,14,6,2,614700,226.45192776964373,7.483325199284203,0.8134049129656744
calvert,24009,2020-04-19,113,3,0,4,1,0,91082,124.06403021453195,3.293735315430052,0
caroline,24011,2020-04-19,33,0,0,0,0,0,32875,100.38022813688212,0,0
carroll,24013,2020-04-19,313,27,1,5,1,0,167522,186.84113131409606,16.117286087797424,0.596936521770275
cecil,24015,2020-04-19,131,3,0,0,0,0,102517,127.7836846571788,2.9263439234468427,0
charles,24017,2020-04-19,370,17,0,23,1,0,157671,234.6658548496553,10.781944682281459,0
dorchester,24019,2020-04-19,21,1,0,1,0,0,32261,65.09407643904404,3.099717925668764,0
frederick,24021,2020-04-19,591,25,5,34,2,0,248472,237.85376219453298,10.061495862712901,2.0122991725425803
garrett,24023,2020-04-19,4,0,0,0,0,0,29376,13.616557734204795,0,0
harford,24025,2020-04-19,210,1,5,15,1,0,251025,83.65700627427547,0.3983666965441689,1.9918334827208444
howard,24027,2020-04-19,515,11,1,7,1,0,315327,163.322519162647,3.4884421568720727,0.3171311051701884
kent,24029,2020-04-19,18,1,0,2,0,0,19593,91.86954524575103,5.103863624763946,0
montgomery,24031,2020-04-19,2507,80,16,103,10,0,1040133,241.0268686792939,7.691324090284608,1.5382648180569216
prince_georges,24033,2020-04-19,3345,98,7,185,13,0,906202,369.1229990664333,10.814365891931379,0.7724547065665271
queen_annes,24035,2020-04-19,25,2,0,1,0,0,49355,50.65342923715935,4.052274338972748,0
somerset,24039,2020-04-19,10,0,0,0,0,0,25737,38.85456735439251,0,0
st_marys,24037,2020-04-19,105,2,0,4,1,0,111531,94.14422895876483,1.7932234087383776,0
talbot,24041,2020-04-19,19,1,0,3,0,0,37211,51.06017037972642,2.6873773884066536,0
washington,24043,2020-04-19,117,3,0,1,0,0,149811,78.09840398902618,2.002523179205799,0
wicomico,24045,2020-04-19,145,3,0,7,2,0,102172,141.91755079669576,2.936225188897154,0
worcester,24047,2020-04-19,33,0,0,2,0,0,51564,63.998138235978594,0,0
allegany,24001,2020-04-20,32,1,0,0,0,0,71977,44.45864651208024,1.3893327035025076,0
anne_arundel,24003,2020-04-20,1098,42,6,51,2,0,567696,193.4133761731631,7.398325864547223,1.0569036949353177
baltimore,24005,2020-04-20,1875,44,6,142,0,0,827625,226.55188038060714,5.316417459598248,0.7249660172179428
baltimore_city,24510,2020-04-20,1511,49,5,119,3,0,614700,245.81096469822677,7.971368147063608,0.8134049129656744
calvert,24009,2020-04-20,114,3,0,1,0,0,91082,125.16194198634197,3.293735315430052,0
caroline,24011,2020-04-20,39,0,0,6,0,0,32875,118.63117870722434,0,0
carroll,24013,2020-04-20,335,30,1,22,3,0,167522,199.97373479304213,17.908095653108248,0.596936521770275
cecil,24015,2020-04-20,134,3,0,3,0,0,102517,130.71002858062565,2.9263439234468427,0
charles,24017,2020-04-20,392,19,1,22,2,1,157671,248.61895973260778,12.050408762549866,0.6342320401342035
dorchester,24019,2020-04-20,23,1,0,2,0,0,32261,71.29351229038157,3.099717925668764,0
frederick,24021,2020-04-20,616,25,5,25,0,0,248472,247.91525805724586,10.061495862712901,2.0122991725425803
garrett,24023,2020-04-20,4,0,0,0,0,0,29376,13.616557734204795,0,0
harford,24025,2020-04-20,226,1,5,16,0,0,251025,90.03087341898217,0.3983666965441689,1.9918334827208444
howard,24027,2020-04-20,538,12,1,23,1,0,315327,170.61653458156138,3.8055732620422607,0.3171311051701884
kent,24029,2020-04-20,28,1,0,10,0,0,19593,142.9081814933905,5.103863624763946,0
montgomery,24031,2020-04-20,2647,89,17,140,9,1,1040133,254.48668583729193,8.556598050441627,1.634406369185479
prince_georges,24033,2020-04-20,3583,103,9,238,5,2,906202,395.3864590896953,11.366119253764612,0.9931560512998205
queen_annes,24035,2020-04-20,26,2,0,1,0,0,49355,52.679566406645726,4.052274338972748,0
somerset,24039,2020-04-20,11,0,0,1,0,0,25737,42.74002408983176,0,0
st_marys,24037,2020-04-20,107,2,0,2,0,0,111531,95.93745236750321,1.7932234087383776,0
talbot,24041,2020-04-20,22,1,0,3,0,0,37211,59.12230254494639,2.6873773884066536,0
washington,24043,2020-04-20,123,3,0,6,0,0,149811,82.10345034743777,2.002523179205799,0
wicomico,24045,2020-04-20,166,3,0,21,0,0,102172,162.47112711897583,2.936225188897154,0
worcester,24047,2020-04-20,34,0,0,1,0,0,51564,65.93747575828098,0,0
allegany,24001,2020-04-21,56,2,0,24,1,0,71977,77.80263139614043,2.778665407005015,0
anne_arundel,24003,2020-04-21,1157,45,7,59,3,1,567696,203.8062625066937,7.926777712014881,1.2330543107578704
baltimore,24005,2020-04-21,1925,51,7,50,7,1,827625,232.59326385742335,6.162211146352515,0.8457936867542667
baltimore_city,24510,2020-04-21,1542,54,5,31,5,0,614700,250.85407515861397,8.784773060029282,0.8134049129656744
calvert,24009,2020-04-21,116,4,0,2,1,0,91082,127.35776552996201,4.391647087240069,0
caroline,24011,2020-04-21,41,0,0,2,0,0,32875,124.7148288973384,0,0
carroll,24013,2020-04-21,330,31,0,0,1,0,167522,196.98905218419074,18.505032174878526,0
cecil,24015,2020-04-21,134,3,0,0,0,0,102517,130.71002858062565,2.9263439234468427,0
charles,24017,2020-04-21,401,22,1,9,3,0,157671,254.3270480938156,13.953104882952477,0.6342320401342035
dorchester,24019,2020-04-21,25,1,0,2,0,0,32261,77.4929481417191,3.099717925668764,0
frederick,24021,2020-04-21,632,28,5,16,3,0,248472,254.35461540938212,11.268875366238449,2.0122991725425803
garrett,24023,2020-04-21,4,0,0,0,0,0,29376,13.616557734204795,0,0
harford,24025,2020-04-21,232,1,6,6,0,1,251025,92.42107359824719,0.3983666965441689,2.3902001792650136
howard,24027,2020-04-21,565,12,1,27,0,0,315327,179.17907442115646,3.8055732620422607,0.3171311051701884
kent,24029,2020-04-21,29,1,0,1,0,0,19593,148.01204511815445,5.103863624763946,0
montgomery,24031,2020-04-21,2768,99,17,121,10,0,1040133,266.1198135238474,9.518013561727201,1.634406369185479
prince_georges,24033,2020-04-21,3734,111,7,151,8,0,906202,412.04941061705887,12.248924632697786,0.7724547065665271
queen_annes,24035,2020-04-21,27,2,0,1,0,0,49355,54.70570357613211,4.052274338972748,0
somerset,24039,2020-04-21,11,0,0,0,0,0,25737,42.74002408983176,0,0
st_marys,24037,2020-04-21,107,3,0,0,1,0,111531,95.93745236750321,2.6898351131075664,0
talbot,24041,2020-04-21,22,1,0,0,0,0,37211,59.12230254494639,2.6873773884066536,0
washington,24043,2020-04-21,126,3,0,3,0,0,149811,84.10597352664358,2.002523179205799,0
wicomico,24045,2020-04-21,176,2,0,10,0,0,102172,172.2585444152997,1.9574834592647694,0
worcester,24047,2020-04-21,33,0,0,0,0,0,51564,63.998138235978594,0,0
allegany,24001,2020-04-22,58,3,0,2,1,0,71977,80.58129680314545,4.167998110507523,0
anne_arundel,24003,2020-04-22,1190,49,7,33,4,0,567696,209.61923282883797,8.631380175305093,1.2330543107578704
baltimore,24005,2020-04-22,2012,58,9,87,7,2,827625,243.10527110708355,7.008004833106782,1.0874490258269143
baltimore_city,24510,2020-04-22,1602,58,6,60,4,1,614700,260.614934114202,9.435496990401822,0.9760858955588092
calvert,24009,2020-04-22,118,5,0,2,1,0,91082,129.55358907358203,5.489558859050087,0
caroline,24011,2020-04-22,41,0,0,0,0,0,32875,124.7148288973384,0,0
carroll,24013,2020-04-22,344,32,0,14,1,0,167522,205.34616348897458,19.1019686966488,0
cecil,24015,2020-04-22,134,5,0,0,2,0,102517,130.71002858062565,4.877239872411405,0
charles,24017,2020-04-22,427,29,1,26,7,0,157671,270.81708113730485,18.3927291638919,0.6342320401342035
dorchester,24019,2020-04-22,28,1,0,3,0,0,32261,86.79210191872541,3.099717925668764,0
frederick,24021,2020-04-22,658,29,6,26,1,1,248472,264.81857110660354,11.671335200746967,2.4147590070510963
garrett,24023,2020-04-22,4,0,0,0,0,0,29376,13.616557734204795,0,0
harford,24025,2020-04-22,267,2,6,35,1,0,251025,106.3639079772931,0.7967333930883378,2.3902001792650136
howard,24027,2020-04-22,592,13,1,27,1,0,315327,187.74161426075153,4.1227043672124495,0.3171311051701884
kent,24029,2020-04-22,36,1,0,7,0,0,19593,183.73909049150205,5.103863624763946,0
montgomery,24031,2020-04-22,2868,110,16,100,11,0,1040133,275.7339686367032,10.575570624141335,1.5382648180569216
prince_georges,24033,2020-04-22,3875,125,7,141,14,0,906202,427.6088554207561,13.79383404583084,0.7724547065665271
queen_annes,24035,2020-04-22,31,2,0,4,0,0,49355,62.810252254077604,4.052274338972748,0
somerset,24039,2020-04-22,11,0,0,0,0,0,25737,42.74002408983176,0,0
st_marys,24037,2020-04-22,112,3,0,5,0,0,111531,100.42051088934915,2.6898351131075664,0
talbot,24041,2020-04-22,23,1,0,1,0,0,37211,61.80967993335304,2.6873773884066536,0
washington,24043,2020-04-22,127,3,0,1,0,0,149811,84.7734812530455,2.002523179205799,0
wicomico,24045,2020-04-22,183,2,0,7,0,0,102172,179.10973652272637,1.9574834592647694,0
worcester,24047,2020-04-22,34,0,0,1,0,0,51564,65.93747575828098,0,0
allegany,24001,2020-04-23,77,3,0,19,0,0,71977,106.9786181696931,4.167998110507523,0
anne_arundel,24003,2020-04-23,1294,54,7,104,5,0,567696,227.93889687438346,9.512133254417856,1.2330543107578704
baltimore,24005,2020-04-23,2132,62,9,120,4,0,827625,257.6045914514424,7.491315511252076,1.0874490258269143
baltimore_city,24510,2020-04-23,1672,60,6,70,2,0,614700,272.0026028957215,9.760858955588091,0.9760858955588092
calvert,24009,2020-04-23,121,6,0,3,1,0,91082,132.8473243890121,6.587470630860104,0
caroline,24011,2020-04-23,50,0,0,9,0,0,32875,152.0912547528517,0,0
carroll,24013,2020-04-23,355,34,0,11,2,0,167522,211.9124652284476,20.29584174018935,0
cecil,24015,2020-04-23,140,5,0,6,0,0,102517,136.56271642751935,4.877239872411405,0
charles,24017,2020-04-23,442,31,1,15,2,0,157671,280.33056173931794,19.66119324416031,0.6342320401342035
dorchester,24019,2020-04-23,31,2,0,3,1,0,32261,96.09125569573169,6.199435851337528,0
frederick,24021,2020-04-23,690,30,6,32,1,0,248472,277.69728581087605,12.07379503525548,2.4147590070510963
garrett,24023,2020-04-23,4,0,0,0,0,0,29376,13.616557734204795,0,0
harford,24025,2020-04-23,280,2,6,13,0,0,251025,111.54267503236728,0.7967333930883378,2.3902001792650136
howard,24027,2020-04-23,618,14,1,26,1,0,315327,195.98702299517646,4.439835472382638,0.3171311051701884
kent,24029,2020-04-23,64,1,0,28,0,0,19593,326.64727198489254,5.103863624763946,0
montgomery,24031,2020-04-23,3060,121,18,192,11,2,1040133,294.19314645338625,11.633127686555468,1.7305479203140368
prince_georges,24033,2020-04-23,4141,141,9,266,16,2,906202,456.96213427028414,15.55944480369719,0.9931560512998205
queen_annes,24035,2020-04-23,33,2,0,2,0,0,49355,66.86252659305035,4.052274338972748,0
somerset,24039,2020-04-23,12,0,0,1,0,0,25737,46.625480825271005,0,0
st_marys,24037,2020-04-23,115,4,0,3,1,0,111531,103.11034600245671,3.586446817476755,0
talbot,24041,2020-04-23,25,1,0,2,0,0,37211,67.18443471016634,2.6873773884066536,0
washington,24043,2020-04-23,139,3,0,12,0,0,149811,92.7835739698687,2.002523179205799,0
wicomico,24045,2020-04-23,203,3,0,20,1,0,102172,198.68457111537407,2.936225188897154,0
worcester,24047,2020-04-23,39,0,0,5,0,0,51564,75.63416336979287,0,0
allegany,24001,2020-04-24,90,3,0,13,0,0,71977,125.0399433152257,4.167998110507523,0
anne_arundel,24003,2020-04-24,1373,56,7,79,2,0,567696,241.85479552436516,9.864434486062963,1.2330543107578704
baltimore,24005,2020-04-24,2234,65,8,102,3,0,827625,269.9290137441474,7.853798519861049,0.9666213562905905
baltimore_city,24510,2020-04-24,1728,65,6,56,5,0,614700,281.11273792093704,10.574263868553766,0.9760858955588092
calvert,24009,2020-04-24,125,8,0,4,2,0,91082,137.23897147625217,8.783294174480138,0
caroline,24011,2020-04-24,55,0,0,5,0,0,32875,167.3003802281369,0,0
carroll,24013,2020-04-24,372,34,0,17,0,0,167522,222.0603860985423,20.29584174018935,0
cecil,24015,2020-04-24,144,5,0,4,0,0,102517,140.46450832544846,4.877239872411405,0
charles,24017,2020-04-24,459,33,1,17,2,0,157671,291.1125064215994,20.929657324428714,0.6342320401342035
dorchester,24019,2020-04-24,32,2,0,1,0,0,32261,99.19097362140045,6.199435851337528,0
frederick,24021,2020-04-24,765,35,6,75,5,0,248472,307.8817733990148,14.086094207798062,2.4147590070510963
garrett,24023,2020-04-24,4,0,0,0,0,0,29376,13.616557734204795,0,0
harford,24025,2020-04-24,289,3,6,9,1,0,251025,115.12797530126481,1.1951000896325068,2.3902001792650136
howard,24027,2020-04-24,642,14,1,24,0,0,315327,203.59816951926098,4.439835472382638,0.3171311051701884
kent,24029,2020-04-24,67,2,0,3,1,0,19593,341.95886285918436,10.207727249527892,0
montgomery,24031,2020-04-24,3227,135,19,167,14,1,1040133,310.24878549185536,12.979109402355276,1.8266894714425945
prince_georges,24033,2020-04-24,4403,147,11,262,6,2,906202,485.8740104303456,16.22154883789707,1.213857396033114
queen_annes,24035,2020-04-24,43,3,0,10,1,0,49355,87.12389828791409,6.078411508459123,0
somerset,24039,2020-04-24,13,0,0,1,0,0,25737,50.51093756071026,0,0
